areaCode,areaName,areaType,date,newReinfectionsBySpecimenDate
E12000002,North West,region,2020-07-07,0
E12000002,North West,region,2020-07-06,0
E12000002,North West,region,2020-07-05,0
E12000002,North West,region,2020-07-04,0
E12000002,North West,region,2020-07-03,0
E12000002,North West,region,2020-07-02,0
E12000002,North West,region,2020-07-01,2
E12000002,North West,region,2020-06-30,1
E12000002,North West,region,2020-06-29,1
E12000002,North West,region,2020-06-28,0
E12000002,North West,region,2020-06-27,1
